numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07690;20151019120000;101200;-160;8;170;3.500000;292.250000;284.750000;62;30000;1;0;0;50;2;800;35;20;12;100890;mq;mq;-460;mq;mq;mq;mq;286.950000;mq;mq;4.400000;4.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;2;6;840;3;0;8000;mq;mq;mq;mq;mq;mq;
07747;20151019120000;101440;-40;8;70;2.700000;289.550000;283.850000;69;41850;0;mq;mq;100;8;800;mq;mq;mq;100920;mq;mq;30;mq;mq;mq;mq;287.750000;mq;mq;5.600000;6.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;0.400000;1.800000;mq;mq;mq;mq;1;mq;750;8;mq;1050;mq;mq;mq;mq;mq;mq;
07761;20151019120000;101120;-110;8;220;3.500000;295.750000;288.050000;62;30000;3;0;0;25;1;1750;31;20;12;101020;mq;mq;-300;mq;mq;mq;mq;286.250000;mq;mq;4.600000;4.600000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;1600;1;0;7500;mq;mq;mq;mq;mq;mq;
07790;20151019120000;101180;-80;6;40;5.300000;293.550000;287.450000;68;30000;2;1;1;75;6;800;35;20;10;101040;mq;mq;-380;mq;mq;mq;mq;287.650000;mq;mq;7.200000;9.700000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;6;6;990;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61997;20151019120000;100760;10;3;270;15.900000;279.850000;273.550000;64;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;98990;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;22.100000;26.800000;-10;mq;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
71805;20151019120000;101310;70;1;300;6.200000;279.250000;272.750000;63;55000;0;mq;mq;100;mq;mq;mq;mq;mq;101220;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;11.800000;-10;mq;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78922;20151019120000;101580;mq;mq;170;4.100000;303.450000;297.150000;69;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;80;299.950000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;mq;mq;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78925;20151019120000;101600;170;3;50;0.900000;301.750000;297.350000;77;58370;mq;mq;mq;mq;mq;mq;mq;mq;mq;101510;mq;mq;100;mq;mq;mq;mq;mq;mq;mq;1.700000;2.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81405;20151019120000;101500;180;3;150;1.200000;301.450000;297.450000;79;40280;0;mq;mq;mq;mq;mq;mq;mq;mq;101410;mq;mq;0;294.550000;mq;mq;mq;294.250000;mq;mq;3.000000;3.000000;-10;mq;mq;mq;mq;0.000000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81415;20151019120000;101520;190;1;50;0.700000;301.450000;295.250000;69;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100320;mq;mq;-10;mq;mq;mq;mq;mq;mq;mq;2.000000;2.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
